property_id,title,property_type,city,subdivision,price,lot_area,floor_area,bedrooms,bathrooms,turnover_status,financing,status
PROP-072,Angeli 3BR Townhouse (End Unit),House & Lot,Bauan,Lumina Bauan,1067974.0,54.0,42.0,3.0,1.0,NRFO,Pag-IBIG / In-House,Available
PROP-073,"Aimee 1BR Row House, Bauan",House & Lot,Bauan,Lumina Bauan,503000.0,36.0,22.0,1.0,1.0,NRFO,Pag-IBIG / In-House,Available
PROP-074,"Angelique 2BR Townhouse, Bauan",House & Lot,Bauan,Lumina Bauan,785000.0,36.0,35.0,2.0,1.0,NRFO,Pag-IBIG / In-House,Available
PROP-075,Aira 2BR Bungalow,House & Lot,Tanza,Lumina Tanza,1200000.0,54.0,33.0,2.0,1.0,NRFO,Pag-IBIG / In-House,Available
PROP-076,"Angeli 3BR Townhouse, Bacolod",House & Lot,Pandi,Lumina Pandi,2045000.0,54.0,42.0,3.0,1.0,NRFO,Pag-IBIG / In-House,Available
PROP-077,Airene 1BR Single-Storey Unit,House & Lot,Plaridel,Lumina Plaridel,550000.0,36.0,22.0,1.0,1.0,NRFO,Pag-IBIG / In-House,Available
PROP-078,Arianne 2BR Bungalow,House & Lot,Baliuag,Lumina Baliuag,900000.0,40.0,26.0,2.0,1.0,NRFO,Pag-IBIG / In-House,Available
PROP-079,Thalia 3BR Single Firewall,House & Lot,San Pedro,Bria Homes Alaminos,2635000.0,81.0,45.0,3.0,1.0,NRFO,Pag-IBIG / In-House,Available
PROP-080,Alecza 2BR Townhouse,House & Lot,San Pedro,Bria Homes Alaminos,2200000.0,81.0,36.0,2.0,1.0,NRFO,Pag-IBIG / In-House,Available
PROP-081,Bettina End Unit Townhouse,House & Lot,Calamba,Bria Homes Executive Calamba,1950000.0,54.0,44.0,1.0,1.0,NRFO,Pag-IBIG / In-House,Available
PROP-082,Bettina Inner Unit Townhouse,House & Lot,Calamba,Bria Homes Executive Calamba,1650000.0,36.0,44.0,1.0,1.0,NRFO,Pag-IBIG / In-House,Available
PROP-083,"Thalia 3BR Single Firewall, General Trias",House & Lot,General Trias,Bria Homes General Trias,2500000.0,81.0,36.0,2.0,1.0,NRFO,Pag-IBIG / In-House,Available
PROP-084,"Bettina Townhouse, Trece Martires",House & Lot,Trece Martires,Bria Homes Trece Martires,1750000.0,36.0,44.0,1.0,1.0,NRFO,Pag-IBIG / In-House,Available
PROP-085,Maria 3BR Townhouse,House & Lot,Santa Maria,Bria Homes Sta. Maria,1450000.0,63.0,42.0,3.0,1.0,NRFO,Pag-IBIG / In-House,Available
PROP-086,"Alecza 2BR Townhouse, Norzagaray",House & Lot,Norzagaray,Bria Homes Norzagaray,2050000.0,81.0,45.0,3.0,1.0,NRFO,Pag-IBIG / In-House,Available
PROP-087,Elyana Single-Storey Model,House & Lot,San Jose del Monte,Bria Homes San Jose del Monte,1350000.0,54.0,44.0,1.0,1.0,NRFO,Pag-IBIG / In-House,Available
PROP-088,"Thalia 3BR Model, Lipa",House & Lot,Lipa,Bria Homes Lipa,2635000.0,81.0,45.0,3.0,1.0,NRFO,Pag-IBIG / In-House,Available
PROP-089,"Alecza 2BR Model, Balayan",House & Lot,Balayan,Bria Homes Balayan,2200000.0,81.0,36.0,2.0,1.0,NRFO,Pag-IBIG / In-House,Available
PROP-090,"Bettina Townhouse, Binangonan",House & Lot,Binangonan,Bria Homes Binangonan,1900000.0,54.0,42.0,2.0,1.0,NRFO,Pag-IBIG / In-House,Available
PROP-091,Stefano 3BR Two-Storey Model,House & Lot,Bacoor,Vivace by Crown Asia,33180000.0,300.0,323.0,3.0,3.0,NRFO,Bank / In-House,Available
